Date,Adj Close,Close,High,Low,Open,Volume
8/9/2018,255.1914063,285.0700073,285.9700012,284.9200134,285.5299988,35717000
8/10/2018,253.4815521,283.1600037,284.0599976,282.3599854,283.4500122,77076000
8/13/2018,252.5325775,282.1000061,284.1600037,281.769989,283.4700012,65732900
8/14/2018,254.1439209,283.8999939,284.1700134,282.480011,282.9200134,43842000
8/15/2018,252.2461853,281.7799988,282.5400085,280.1600037,282.3800049,102925400
8/16/2018,254.2872314,284.0599976,285.0400085,283.3599854,283.3999939,69967900
8/17/2018,255.1824493,285.0599976,285.5599976,283.3699951,283.8299866,65618500
8/20/2018,255.7284698,285.6700134,285.9700012,285.0599976,285.5700073,39807500
8/21/2018,256.3282471,286.3399963,287.3099976,285.7099915,286.25,67272000
8/22/2018,256.1760864,286.1700134,286.7600098,285.5799866,285.8800049,44993300
8/23/2018,255.8358612,285.7900085,286.9400024,285.4299927,285.9700012,49204900
8/24/2018,257.3756714,287.5100098,287.6700134,286.3800049,286.4400024,57487400
8/27/2018,259.4077454,289.7799988,289.8999939,288.6799927,288.8599854,57072400
8/28/2018,259.5330505,289.9200134,290.4200134,289.3999939,290.2999878,46943500
8/29/2018,260.9294128,291.480011,291.7399902,289.8900146,290.1600037,61485500
8/30/2018,259.87323,290.2999878,291.3599854,289.6300049,290.9400024,61229500
8/31/2018,259.8821411,290.3099976,290.8099976,289.2900085,289.8399963,66140800
9/4/2018,259.4345398,289.8099976,290.2099915,288.6799927,289.8399963,57594400
9/5/2018,258.7363281,289.0299988,289.6400146,287.8900146,289.4100037,72452400
9/6/2018,257.9574585,288.1600037,289.4899902,287,289.1499939,65909900
9/7/2018,257.4561462,287.6000061,288.7000122,286.7099915,286.980011,73524800
9/10/2018,257.9038086,288.1000061,289.0400085,287.8800049,288.7399902,50210900
9/11/2018,258.7541199,289.0499878,289.5499878,286.980011,287.3699951,50530500
9/12/2018,258.816864,289.1199951,289.7999878,288.230011,289.0599976,59810800
9/13/2018,260.3475952,290.8299866,291.0400085,290,290.3200073,51034200
9/14/2018,260.392395,290.8800049,291.269989,290,291.0599976,55079900
9/17/2018,259.0137939,289.3399963,290.8599854,289.0299988,290.8200073,68244000
9/18/2018,260.41922,290.9100037,291.5799866,289.5499878,289.5799866,61930400
9/19/2018,260.6967468,291.2200012,291.6900024,290.8299866,290.9700012,49080600
9/20/2018,262.8094177,293.5799866,293.9400024,291.2399902,292.6400146,100360600
9/21/2018,262.5692749,291.9899902,293.2200012,291.8099976,293.0899963,105479700
9/24/2018,261.696991,291.019989,291.5,290.3699951,291.3399963,53409600
9/25/2018,261.4542847,290.75,291.6499939,290.480011,291.5299988,44370000
9/26/2018,260.671875,289.8800049,292.2399902,289.4100037,290.9100037,79739700
9/27/2018,261.4003296,290.6900024,291.9100037,290.1000061,290.4100037,59249500
9/28/2018,261.4271851,290.7200012,291.2799988,289.9500122,289.9899902,70091400
10/1/2018,262.3355408,291.730011,292.9299927,290.980011,292.1099854,62078900
10/2/2018,262.1826172,291.5599976,292.3599854,291.1400146,291.5599976,47258200
10/3/2018,262.3264771,291.7200012,293.2099915,291.3200073,292.7399902,64694600
